tweet,followers_count,retweet_count
https://twitter.com/KUTV2News/status/796355416586391552,73989,1
https://twitter.com/MichaelBreed/status/796354866432143360,35285,8
https://twitter.com/TheBlazeRadio/status/796353623785607168,50452,7
https://twitter.com/daliaAO/status/796352688862674944,40443,0
https://twitter.com/GovernorPataki/status/796352640829521921,72123,35
https://twitter.com/kaybaileyhutch/status/796352454388551682,20878,5
https://twitter.com/MikeLakeMP/status/796352076959752193,9058,4
https://twitter.com/Boozman4AR/status/796351044058050560,3234,1
https://twitter.com/jcourt40/status/796350588019576833,105211,0
https://twitter.com/PiyushGoyal/status/796349796680278018,876131,598
https://twitter.com/JoeTrippi/status/796348076587884544,959920,14
https://twitter.com/BigRichTexasPam/status/796348012016631814,103986,70
https://twitter.com/jimdiodati/status/796346877683896320,4765,1
https://twitter.com/MaryBonoUSA/status/796346719441129474,13231,5
https://twitter.com/GeraldoRivera/status/796346294717546496,106129,48
https://twitter.com/fox5sandiego/status/796345880873840641,134270,2
https://twitter.com/Amb_AlKuwari/status/796345315234349056,2704,9
https://twitter.com/RealRonJeremy/status/796344835930255360,79421,11
https://twitter.com/elbegdorj/status/796343543258349568,239514,224
https://twitter.com/FreeJesseJames/status/796343052923260929,152401,136
https://twitter.com/mims/status/796343048296927232,58023,0
https://twitter.com/Alwaleed_Talal/status/796341367106637828,5384244,3551
https://twitter.com/alkawari4unesco/status/796340973097861122,4997,4
https://twitter.com/JebBush/status/796340702464581632,802852,3116
https://twitter.com/vikrambushahr/status/796340153081921536,10938,5
https://twitter.com/AdelAljubeir/status/796340093233598469,1153407,1880
https://twitter.com/ashokgehlot51/status/796339792631869440,35395,75
https://twitter.com/HaidarHadi/status/796339053960560640,3917,0
https://twitter.com/KRLS/status/796338793972453376,169291,601
https://twitter.com/Logunov_Daniil/status/796338053564534784,7729,0
https://twitter.com/wjrradio/status/796337733673295872,15136,0
https://twitter.com/Clayburn/status/796336685638422529,7667,0
https://twitter.com/WTODGAZEVEDO/status/796335741425090560,11699,33
https://twitter.com/BBugti/status/796335507919798272,32812,676
https://twitter.com/rdaubuisson/status/796334711878676481,40456,1
